Position,Rank,Name,Points per Cost,Now Cost
MID,1,Granit Xhaka,3.19,48
MID,2,Martin Ødegaard,3.07,69
MID,3,Gabriel Martinelli Silva,3.05,65
MID,4,Douglas Luiz Soares de Paulo,2.96,48
MID,5,Pascal Groß,2.94,54
MID,6,Miguel Almirón Rejala,2.93,54
MID,7,Andreas Hoelgebaum Pereira,2.86,43
MID,8,Marcus Rashford,2.85,72
MID,9,Solly March,2.83,52
MID,10,Eberechi Eze,2.79,57
MID,11,Mathias Jensen,2.75,48
MID,12,Jacob Ramsey,2.65,51
MID,13,Morgan Gibbs-White,2.64,55
MID,14,Joe Willock,2.62,47
MID,15,Alex Iwobi,2.57,49
MID,16,Bukayo Saka,2.52,80
MID,17,Philip Billing,2.52,50
MID,18,Alexis Mac Allister,2.50,56
MID,19,Michael Olise,2.49,53
MID,20,Harrison Reed,2.49,43
MID,21,Declan Rice,2.47,47
MID,22,Dwight McNeil,2.42,52
MID,23,Kaoru Mitoma,2.42,57
MID,24,Jack Harrison,2.35,57
MID,25,Leandro Trossard,2.33,66
MID,26,James Ward-Prowse,2.33,61
MID,27,Leon Bailey,2.33,43
MID,28,Rúben da Silva Neves,2.27,52
MID,29,Pierre-Emile Højbjerg,2.26,53
MID,30,Sean Longstaff,2.16,43
MID,31,Jefferson Lerma Solís,2.15,47
MID,32,Willian Borges da Silva,2.11,55
MID,33,Harvey Barnes,2.09,66
MID,34,Emiliano Buendía Stati,2.05,57
MID,35,Rodrigo Moreno,2.02,63
MID,36,Marcus Tavernier,2.00,47
MID,37,Jordan Ayew,2.00,52
MID,38,Tomas Soucek,2.00,50
MID,39,Bruno Guimarães Rodriguez Moura,1.95,55
MID,40,Rodrigo Hernandez,1.93,56
MID,41,Saïd Benrahma,1.93,55
MID,42,Joelinton Cássio Apolinário de Lira,1.92,60
MID,43,Jeffrey Schlupp,1.89,47
MID,44,Bruno Borges Fernandes,1.85,95
MID,45,Thomas Partey,1.83,47
MID,46,Mohamed Salah,1.82,131
MID,47,Jarrod Bowen,1.81,80
MID,48,Daniel Castelo Podence,1.80,51
MID,49,Demarai Gray,1.78,51
MID,50,Ilkay Gündogan,1.78,74
MID,51,Carlos Henrique Casimiro,1.78,49
MID,52,Phil Foden,1.77,80
MID,53,John McGinn,1.76,51
MID,54,James Maddison,1.73,78
MID,55,Jack Grealish,1.70,71
MID,56,João Palhinha Gonçalves,1.69,49
MID,57,Riyad Mahrez,1.68,75
MID,58,Kiernan Dewsbury-Hall,1.67,49
MID,59,Bobby De Cordova-Reid,1.67,54
MID,60,Matheus Luiz Nunes,1.67,48
MID,61,Christian Eriksen,1.66,62
MID,62,Lucas Tolentino Coelho de Lima,1.66,59
MID,63,Amadou Onana,1.64,47
MID,64,Bernardo Veiga de Carvalho e Silva,1.58,67
MID,65,Moisés Caicedo Corozo,1.58,50
MID,66,Brenden Aaronson,1.57,53
MID,67,Vitaly Janelt,1.55,55
MID,68,Kevin De Bruyne,1.51,121
MID,69,Cheick Doucouré,1.48,50
MID,70,Youri Tielemans,1.41,61
MID,71,Idrissa Gueye,1.40,47
MID,72,Marc Roca Junqué,1.40,48
MID,73,Jorge Luiz Frello Filho,1.39,57
MID,74,Fabio Henrique Tavares,1.35,52
MID,75,Christian Nørgaard,1.34,53
MID,76,Son Heung-min,1.32,115
MID,77,Wilfried Zaha,1.32,72
MID,78,Jordan Henderson,1.30,53
MID,79,Roméo Lavia,1.27,45
MID,80,Dejan Kulusevski,1.23,78
MID,81,João Filipe Iria Santos Moutinho,1.22,46
MID,82,Mohamed Elyounoussi,1.22,51
MID,83,Ryan Christie,1.21,53
MID,84,Antony Matheus dos Santos,1.12,73
MID,85,Remo Freuler,1.10,49
MID,86,Ryan Yates,1.06,50
MID,87,Raheem Sterling,1.04,97
MID,88,Lewis Cook,1.04,49
MID,89,Tyler Adams,0.96,49
MID,90,Boubacar Kamara,0.92,48
DEF,1,Kieran Trippier,3.30,60
DEF,2,Benjamin White,3.12,50
DEF,3,Ben Mee,2.98,48
DEF,4,Dan Burn,2.87,45
DEF,5,Sven Botman,2.87,45
DEF,6,Gabriel dos Santos Magalhães,2.81,52
DEF,7,Tyrone Mings,2.77,47
DEF,8,Fabian Schär,2.73,51
DEF,9,Timothy Castagne,2.65,43
DEF,10,James Tarkowski,2.59,41
DEF,11,Pervis Estupiñán,2.56,50
DEF,12,Rico Henry,2.55,44
DEF,13,Ethan Pinnock,2.55,44
DEF,14,Max Kilman,2.53,43
DEF,15,Ezri Konsa Ngoyo,2.50,44
DEF,16,William Saliba,2.39,49
