Position,Rank,Name,Points per Cost,Now Cost
DEF,1,Kieran Trippier,3.30,60
DEF,2,Benjamin White,3.12,50
DEF,3,Ben Mee,2.98,48
DEF,4,Dan Burn,2.87,45
DEF,5,Sven Botman,2.87,45
DEF,6,Gabriel dos Santos Magalhães,2.81,52
DEF,7,Tyrone Mings,2.77,47
DEF,8,Fabian Schär,2.73,51
DEF,9,Timothy Castagne,2.65,43
DEF,10,James Tarkowski,2.59,41
DEF,11,Pervis Estupiñán,2.56,50
DEF,12,Rico Henry,2.55,44
DEF,13,Ethan Pinnock,2.55,44
DEF,14,Max Kilman,2.53,43
DEF,15,Ezri Konsa Ngoyo,2.50,44
DEF,16,William Saliba,2.39,49
DEF,17,Luke Shaw,2.34,53
DEF,18,Lewis Dunk,2.33,48
DEF,19,Tim Ream,2.18,45
DEF,20,Diogo Dalot Teixeira,2.12,48
DEF,21,Tyrick Mitchell,2.11,44
DEF,22,Antonee Robinson,2.11,44
DEF,23,Marc Guéhi,2.11,45
DEF,24,Ben Davies,2.11,47
DEF,25,Joël Veltman,2.07,46
DEF,26,Kenny Tete,2.05,44
DEF,27,Ashley Young,2.02,43
DEF,28,Trent Alexander-Arnold,2.00,78
DEF,29,Kurt Zouma,2.00,44
DEF,30,Oleksandr Zinchenko,1.98,50
DEF,31,Virgil van Dijk,1.92,66
DEF,32,Eric Dier,1.92,50
DEF,33,Wout Faes,1.86,42
DEF,34,Lisandro Martínez,1.84,44
DEF,35,Nathan Aké,1.84,50
DEF,36,Issa Diop,1.84,43
DEF,37,Vitalii Mykolenko,1.83,41
DEF,38,Emerson Leite de Souza Junior,1.79,48
DEF,39,Andrew Robertson,1.78,68
DEF,40,Joachim Andersen,1.78,45
DEF,41,Romain Perraud,1.77,40
DEF,42,Ivan Perišić,1.77,53
DEF,43,Joel Ward,1.77,44
DEF,44,Adam Smith,1.72,43
DEF,45,Adam Webster,1.67,45
DEF,46,John Stones,1.66,56
DEF,47,Conor Coady,1.64,47
DEF,48,Serge Aurier,1.63,43
DEF,49,Manuel Akanji,1.61,51
DEF,50,Raphaël Varane,1.60,48
DEF,51,Aaron Cresswell,1.57,47
DEF,52,Marcos Senesi,1.57,44
DEF,53,Craig Dawson,1.56,48
DEF,54,Thilo Kehrer,1.56,43
DEF,55,Nélson Cabral Semedo,1.50,50
DEF,56,Thiago Emiliano da Silva,1.48,54
DEF,57,Kyle Walker,1.47,47
DEF,58,Pascal Struijk,1.47,45
DEF,59,Joe Worrall,1.45,42
DEF,60,Vladimir Coufal,1.45,40
DEF,61,Neco Williams,1.42,38
DEF,62,Lloyd Kelly,1.40,43
DEF,63,Cristian Romero,1.35,49
DEF,64,Kalidou Koulibaly,1.35,55
DEF,65,Rúben Gato Alves Dias,1.33,60
DEF,66,Clément Lenglet,1.31,48
DEF,67,Luke Ayling,1.31,45
DEF,68,Renan Augusto Lodi dos Santos,1.30,43
DEF,69,Aaron Hickey,1.29,49
DEF,70,Kyle Walker-Peters,1.27,44
DEF,71,Matty Cash,1.24,46
DEF,72,Robin Koch,1.22,45
DEF,73,Nathan Collins,1.17,42
DEF,74,Tosin Adarabioyo,1.11,44
DEF,75,Armel Bella-Kotchap,1.09,45
DEF,76,Rasmus Kristensen,1.09,47
DEF,77,Chris Mepham,1.00,43
DEF,78,Mohammed Salisu,0.79,42
DEF,79,Jan Bednarek,0.78,41
