Position,Rank,Name,Points per Cost,Now Cost
FWD,1,Bryan Mbeumo,2.63,57
FWD,2,Ivan Toney,2.56,71
FWD,3,Ollie Watkins,2.40,73
FWD,4,Dominic Solanke,2.32,56
FWD,5,Harry Kane,2.29,115
FWD,6,Brennan Johnson,2.22,55
FWD,7,Erling Haaland,2.19,124
FWD,8,Callum Wilson,2.15,73
FWD,9,Odsonne Edouard,1.64,50
FWD,10,Aleksandar Mitrović,1.62,66
FWD,11,Che Adams,1.57,60
FWD,12,Gabriel Fernando de Jesus,1.54,81
FWD,13,Danny Welbeck,1.40,65
FWD,14,Kai Havertz,1.38,74
FWD,15,Michail Antonio,1.22,69
FWD,16,Jamie Vardy,0.90,91
