Position,Rank,Name,Points per Cost,Now Cost
GK,1,David Raya Martin,3.46,48
GK,2,David De Gea Quintana,3.16,51
GK,3,Bernd Leno,3.09,46
GK,4,Aaron Ramsdale,2.98,48
GK,5,José Malheiro de Sá,2.96,50
GK,6,Alisson Ramses Becker,2.95,55
GK,7,Nick Pope,2.91,54
GK,8,Jordan Pickford,2.82,44
GK,9,Emiliano Martínez Romero,2.70,50
GK,10,Kepa Arrizabalaga,2.62,45
GK,11,Lukasz Fabianski,2.59,49
GK,12,Danny Ward,2.39,38
GK,13,Vicente Guaita,2.25,44
GK,14,Ederson Santana de Moraes,2.24,54
GK,15,Norberto Murara Neto,2.07,45
GK,16,Illan Meslier,2.05,44
GK,17,Gavin Bazunu,1.91,44
GK,18,Robert Sánchez,1.86,44
GK,19,Hugo Lloris,1.65,54
