Position,Rank,Name,Points per 90 Minutes,Now Cost
DEF,1,Kieran Trippier,5.33,60
DEF,2,Trent Alexander-Arnold,4.80,78
DEF,3,Benjamin White,4.60,50
DEF,4,John Stones,4.54,56
DEF,5,Emerson Leite de Souza Junior,4.48,48
DEF,6,Nathan Aké,4.43,50
DEF,7,Luke Shaw,4.37,53
DEF,8,William Saliba,4.36,49
DEF,9,Pervis Estupiñán,4.31,50
DEF,10,Diogo Dalot Teixeira,4.27,48
DEF,11,Andrew Robertson,4.22,68
DEF,12,Oleksandr Zinchenko,4.20,50
DEF,13,Virgil van Dijk,4.03,66
DEF,14,Ivan Perišić,4.03,53
DEF,15,Kurt Zouma,3.98,44
DEF,16,Ben Mee,3.94,48
DEF,17,Joël Veltman,3.92,46
DEF,18,Ben Davies,3.90,47
DEF,19,Fabian Schär,3.90,51
DEF,20,Ashley Young,3.86,43
DEF,21,Gabriel dos Santos Magalhães,3.85,52
DEF,22,Dan Burn,3.73,45
DEF,23,Ethan Pinnock,3.73,44
DEF,24,Tyrone Mings,3.71,47
DEF,25,Sven Botman,3.71,45
DEF,26,Kalidou Koulibaly,3.70,55
DEF,27,Raphaël Varane,3.62,48
DEF,28,Rúben Gato Alves Dias,3.61,60
DEF,29,Issa Diop,3.54,43
DEF,30,Romain Perraud,3.50,40
DEF,31,Lisandro Martínez,3.45,44
DEF,32,Adam Webster,3.40,45
DEF,33,Conor Coady,3.31,47
DEF,34,Serge Aurier,3.24,43
DEF,35,Manuel Akanji,3.23,51
DEF,36,Kyle Walker,3.18,47
DEF,37,Craig Dawson,3.16,48
DEF,38,Kenny Tete,3.15,44
DEF,39,Timothy Castagne,3.15,43
DEF,40,Joel Ward,3.12,44
DEF,41,Rico Henry,3.11,44
DEF,42,Lewis Dunk,3.11,48
DEF,43,Eric Dier,3.07,50
DEF,44,Thiago Emiliano da Silva,3.06,54
DEF,45,Tim Ream,3.04,45
DEF,46,Ezri Konsa Ngoyo,2.98,44
DEF,47,Aaron Cresswell,2.98,47
DEF,48,Max Kilman,2.97,43
DEF,49,Aaron Hickey,2.96,49
DEF,50,Tyrick Mitchell,2.90,44
DEF,51,Matty Cash,2.82,46
DEF,52,Clément Lenglet,2.81,48
DEF,53,James Tarkowski,2.79,41
DEF,54,Antonee Robinson,2.71,44
DEF,55,Thilo Kehrer,2.71,43
DEF,56,Pascal Struijk,2.70,45
DEF,57,Lloyd Kelly,2.65,43
DEF,58,Neco Williams,2.60,38
DEF,59,Luke Ayling,2.59,45
DEF,60,Joachim Andersen,2.59,45
DEF,61,Marc Guéhi,2.57,45
DEF,62,Nélson Cabral Semedo,2.56,50
DEF,63,Vitalii Mykolenko,2.54,41
DEF,64,Wout Faes,2.52,42
DEF,65,Cristian Romero,2.51,49
DEF,66,Marcos Senesi,2.49,44
DEF,67,Joe Worrall,2.48,42
DEF,68,Vladimir Coufal,2.44,40
DEF,69,Nathan Collins,2.44,42
DEF,70,Rasmus Kristensen,2.35,47
DEF,71,Armel Bella-Kotchap,2.34,45
DEF,72,Renan Augusto Lodi dos Santos,2.28,43
DEF,73,Adam Smith,2.27,43
DEF,74,Tosin Adarabioyo,2.12,44
DEF,75,Kyle Walker-Peters,1.90,44
DEF,76,Chris Mepham,1.76,43
DEF,77,Jan Bednarek,1.63,41
DEF,78,Robin Koch,1.56,45
DEF,79,Mohammed Salisu,1.51,42
