Position,Rank,Name,Points per 90 Minutes,Now Cost
FWD,1,Erling Haaland,8.85,124
FWD,2,Callum Wilson,7.56,73
FWD,3,Harry Kane,6.95,115
FWD,4,Ivan Toney,5.55,71
FWD,5,Gabriel Fernando de Jesus,5.45,81
FWD,6,Ollie Watkins,5.03,73
FWD,7,Aleksandar Mitrović,4.79,66
FWD,8,Bryan Mbeumo,4.65,57
FWD,9,Danny Welbeck,4.44,65
FWD,10,Che Adams,4.26,60
FWD,11,Michail Antonio,4.15,69
FWD,12,Odsonne Edouard,4.13,50
FWD,13,Dominic Solanke,4.08,56
FWD,14,Jamie Vardy,4.01,91
FWD,15,Brennan Johnson,3.75,55
FWD,16,Kai Havertz,3.58,74
