Position,Rank,Name,Points per 90 Minutes,Now Cost
GK,1,Alisson Ramses Becker,4.38,55
GK,2,David Raya Martin,4.37,48
GK,3,Nick Pope,4.33,54
GK,4,David De Gea Quintana,4.24,51
GK,5,Kepa Arrizabalaga,4.14,45
GK,6,José Malheiro de Sá,4.11,50
GK,7,Bernd Leno,3.94,46
GK,8,Emiliano Martínez Romero,3.87,50
GK,9,Aaron Ramsdale,3.76,48
GK,10,Lukasz Fabianski,3.67,49
GK,11,Vicente Guaita,3.67,44
GK,12,Hugo Lloris,3.63,54
GK,13,Robert Sánchez,3.57,44
GK,14,Norberto Murara Neto,3.51,45
GK,15,Danny Ward,3.50,38
GK,16,Ederson Santana de Moraes,3.46,54
GK,17,Jordan Pickford,3.35,44
GK,18,Illan Meslier,2.65,44
GK,19,Gavin Bazunu,2.62,44
