Position,Rank,Name,Points per 90 Minutes,Now Cost
MID,1,Phil Foden,6.98,80
MID,2,Kevin De Bruyne,6.83,121
MID,3,Mohamed Salah,6.54,131
MID,4,Marcus Rashford,6.41,72
MID,5,Gabriel Martinelli Silva,6.39,65
MID,6,Leandro Trossard,6.20,66
MID,7,Martin Ødegaard,6.09,69
MID,8,Rodrigo Moreno,5.93,63
MID,9,Riyad Mahrez,5.93,75
MID,10,Miguel Almirón Rejala,5.72,54
MID,11,Bukayo Saka,5.71,80
MID,12,Eberechi Eze,5.44,57
MID,13,Kaoru Mitoma,5.37,57
MID,14,Jack Grealish,5.31,71
MID,15,Ilkay Gündogan,5.05,74
MID,16,Willian Borges da Silva,4.91,55
MID,17,James Maddison,4.90,78
MID,18,Solly March,4.87,52
MID,19,Marcus Tavernier,4.86,47
MID,20,Raheem Sterling,4.82,97
MID,21,Bruno Borges Fernandes,4.78,95
MID,22,Son Heung-min,4.74,115
MID,23,Daniel Castelo Podence,4.70,51
MID,24,Saïd Benrahma,4.63,55
MID,25,Jacob Ramsey,4.61,51
MID,26,Granit Xhaka,4.60,48
MID,27,Harvey Barnes,4.58,66
MID,28,Leon Bailey,4.58,43
MID,29,Dwight McNeil,4.55,52
MID,30,Christian Eriksen,4.53,62
MID,31,Jack Harrison,4.46,57
MID,32,Pascal Groß,4.42,54
MID,33,Emiliano Buendía Stati,4.38,57
MID,34,Douglas Luiz Soares de Paulo,4.37,48
MID,35,Alexis Mac Allister,4.37,56
MID,36,Bernardo Veiga de Carvalho e Silva,4.34,67
MID,37,Michael Olise,4.33,53
MID,38,Joe Willock,4.33,47
MID,39,Mathias Jensen,4.24,48
MID,40,Dejan Kulusevski,4.19,78
MID,41,Morgan Gibbs-White,4.14,55
MID,42,Andreas Hoelgebaum Pereira,4.11,43
MID,43,Philip Billing,4.10,50
MID,44,Lucas Tolentino Coelho de Lima,4.09,59
MID,45,Antony Matheus dos Santos,4.09,73
MID,46,Jarrod Bowen,4.04,80
MID,47,Joelinton Cássio Apolinário de Lira,3.89,60
MID,48,James Ward-Prowse,3.79,61
MID,49,Wilfried Zaha,3.74,72
MID,50,Carlos Henrique Casimiro,3.69,49
MID,51,Christian Nørgaard,3.62,53
MID,52,Bruno Guimarães Rodriguez Moura,3.53,55
MID,53,Rúben da Silva Neves,3.52,52
MID,54,Vitaly Janelt,3.48,55
MID,55,Jordan Ayew,3.46,52
MID,56,Pierre-Emile Højbjerg,3.45,53
MID,57,Harrison Reed,3.36,43
MID,58,Alex Iwobi,3.36,49
MID,59,Jorge Luiz Frello Filho,3.34,57
MID,60,Rodrigo Hernandez,3.34,56
MID,61,Sean Longstaff,3.33,43
MID,62,Youri Tielemans,3.31,61
MID,63,Bobby De Cordova-Reid,3.28,54
MID,64,Demarai Gray,3.27,51
MID,65,Kiernan Dewsbury-Hall,3.20,49
MID,66,Tomas Soucek,3.20,50
MID,67,Declan Rice,3.19,47
MID,68,Jeffrey Schlupp,3.17,47
MID,69,Brenden Aaronson,3.16,53
MID,70,Ryan Christie,3.16,53
MID,71,Thomas Partey,3.12,47
MID,72,Jordan Henderson,3.01,53
MID,73,John McGinn,3.01,51
MID,74,Matheus Luiz Nunes,2.92,48
MID,75,João Filipe Iria Santos Moutinho,2.84,46
MID,76,Jefferson Lerma Solís,2.80,47
MID,77,Amadou Onana,2.79,47
MID,78,Lewis Cook,2.68,49
MID,79,Marc Roca Junqué,2.60,48
MID,80,Ryan Yates,2.60,50
MID,81,Mohamed Elyounoussi,2.58,51
MID,82,Cheick Doucouré,2.40,50
MID,83,João Palhinha Gonçalves,2.40,49
MID,84,Fabio Henrique Tavares,2.36,52
MID,85,Roméo Lavia,2.31,45
MID,86,Idrissa Gueye,2.31,47
MID,87,Moisés Caicedo Corozo,2.27,50
MID,88,Remo Freuler,2.25,49
MID,89,Boubacar Kamara,2.23,48
MID,90,Tyler Adams,1.96,49
