name,team,position,total_points,xP,delta,points_per_90,minutes
Reece James,Chelsea,DEF,2,2.1,-0.10000000000000009,2.4,75
Ben Chilwell,Chelsea,DEF,7,2.1,4.9,7.08,89
Ibrahima Konaté,Liverpool,DEF,2,2.8,-0.7999999999999998,2.0,90
Manuel Akanji,Man City,DEF,6,3.8,2.2,6.0,90
Rayan Aït-Nouri,Wolves,DEF,1,1.5,-0.5,1.18,76
Emerson Palmieri dos Santos,West Ham,DEF,1,2.0,-1.0,1.0,90
Benjamin White,Arsenal,DEF,1,3.1,-2.1,1.0,90
Luke Shaw,Man Utd,DEF,5,3.1,1.9,5.0,90
James Tarkowski,Everton,DEF,2,2.0,0.0,2.0,90
Kristoffer Ajer,Brentford,DEF,1,2.0,-1.0,1.08,83
Tim Ream,Fulham,DEF,7,2.0,5.0,7.0,90
James Tomkins,Crystal Palace,DEF,1,1.5,-0.5,90.0,1
Gabriel dos Santos Magalhães,Arsenal,DEF,1,2.8,-1.7999999999999998,22.5,4
Takehiro Tomiyasu,Arsenal,DEF,1,2.5,-1.5,2.25,40
William Saliba,Arsenal,DEF,5,2.9,2.1,5.0,90
Victor da Silva,Burnley,DEF,1,0.5,0.5,1.0,90
Destiny Udogie,Spurs,DEF,1,2.0,-1.0,1.0,90
Connor Roberts,Burnley,DEF,1,0.5,0.5,1.0,90
Neco Williams,Nott'm Forest,DEF,1,1.5,-0.5,5.0,18
John Egan,Sheffield Utd,DEF,2,1.5,0.5,2.0,90
Chris Basham,Sheffield Utd,DEF,2,0.5,1.5,2.28,79
Levi Colwill,Chelsea,DEF,2,1.5,0.5,2.0,90
Rico Henry,Brentford,DEF,4,2.0,2.0,4.0,90
Kurt Zouma,West Ham,DEF,2,2.0,0.0,2.0,90
James Hill,Bournemouth,DEF,1,1.0,0.0,6.0,15
Sven Botman,Newcastle,DEF,5,2.5,2.5,5.0,90
Issa Diop,Fulham,DEF,8,2.0,6.0,8.0,90
Trent Alexander-Arnold,Liverpool,DEF,1,4.5,-3.5,1.0,90
Pervis Estupiñán,Brighton,DEF,7,2.9,4.1,7.0,90
Jack Robinson,Sheffield Utd,DEF,2,1.5,0.5,2.28,79
Micky van de Ven,Spurs,DEF,1,2.0,-1.0,1.0,90
Illia Zabarnyi,Bournemouth,DEF,2,2.0,0.0,2.0,90
Marcos Senesi,Bournemouth,DEF,1,2.0,-1.0,1.53,59
Dan Burn,Newcastle,DEF,2,2.5,-0.5,2.0,90
Joachim Andersen,Crystal Palace,DEF,9,2.5,6.5,9.0,90
Nathan Collins,Brentford,DEF,1,2.0,-1.0,1.0,90
Aymeric Laporte,Man City,DEF,1,3.8,-2.8,8.18,11
Kieran Trippier,Newcastle,DEF,2,3.6,-1.6,2.0,90
Vladimír Coufal,West Ham,DEF,2,2.0,0.0,2.0,90
Virgil van Dijk,Liverpool,DEF,2,3.4,-1.4,2.0,90
Willy Boly,Nott'm Forest,DEF,1,1.5,-0.5,1.0,90
Rico Lewis,Man City,DEF,6,3.5,2.5,6.92,78
Emerson Leite de Souza Junior,Spurs,DEF,8,2.0,6.0,8.0,90
Joël Veltman,Brighton,DEF,1,2.5,-1.5,8.18,11
Andrew Robertson,Liverpool,DEF,2,3.6,-1.6,2.0,90
Hugo Bueno López,Wolves,DEF,1,1.5,-0.5,6.92,13
Mads Roerslev Rasmussen,Brentford,DEF,1,2.0,-1.0,5.0,18
Max Lowe,Sheffield Utd,DEF,2,1.5,0.5,2.28,79
Issa Kaboré,Luton,DEF,1,0.5,0.5,1.43,63
Dara O'Shea,Burnley,DEF,1,0.5,0.5,1.0,90
Joel Ward,Crystal Palace,DEF,6,2.5,3.5,6.0,90
Ashley Young,Everton,DEF,2,2.0,0.0,2.0,90
Raphaël Varane,Man Utd,DEF,14,2.8,11.2,14.0,90
Fabian Schär,Newcastle,DEF,2,2.8,-0.7999999999999998,2.0,90
Craig Dawson,Wolves,DEF,2,1.5,0.5,2.0,90
Nayef Aguerd,West Ham,DEF,2,2.0,0.0,2.0,90
