name,team,position,total_points,xP,delta,points_per_90,minutes
Thomas Kaminski,Luton,GK,3,1.9,1.1,3.0,90
Mark Flekken,Brentford,GK,2,2.4,-0.3999999999999999,2.0,90
Aaron Ramsdale,Arsenal,GK,2,3.7,-1.7000000000000002,2.0,90
James Trafford,Burnley,GK,2,0.9,1.1,2.0,90
Sam Johnstone,Crystal Palace,GK,6,2.9,3.1,6.0,90
Jason Steele,Brighton,GK,2,2.9,-0.8999999999999999,2.0,90
Nick Pope,Newcastle,GK,3,4.5,-1.5,3.0,90
Ederson Santana de Moraes,Man City,GK,6,5.5,0.5,6.0,90
Guglielmo Vicario,Spurs,GK,1,3.2,-2.2,1.0,90
Alphonse Areola,West Ham,GK,3,1.0,2.0,3.0,90
Alisson Ramses Becker,Liverpool,GK,3,4.5,-1.5,3.0,90
Bernd Leno,Fulham,GK,12,2.4,9.6,12.0,90
André Onana,Man Utd,GK,9,3.7,5.3,9.0,90
Norberto Murara Neto,Bournemouth,GK,2,2.4,-0.3999999999999999,2.0,90
Jordan Pickford,Everton,GK,2,2.4,-0.3999999999999999,2.0,90
Emiliano Martínez Romero,Aston Villa,GK,1,2.7,-1.7000000000000002,1.0,90
José Malheiro de Sá,Wolves,GK,2,2.7,-0.7000000000000002,2.0,90
Wes Foderingham,Sheffield Utd,GK,4,1.9,2.1,4.0,90
Matt Turner,Nott'm Forest,GK,2,0.5,1.5,2.0,90
Robert Sánchez,Chelsea,GK,2,1.9,0.10000000000000009,2.0,90
