name,team,position,total_points,xP,delta,points_per_90,minutes
Jadon Sancho,Man Utd,MID,1,3.0,-2.0,4.09,22
Vitaly Janelt,Brentford,MID,2,2.1,-0.10000000000000009,2.0,90
Andre Brooks,Sheffield Utd,MID,1,0.5,0.5,30.0,3
Curtis Jones,Liverpool,MID,1,2.1,-1.1,3.75,24
Ben Osborn,Sheffield Utd,MID,2,1.1,0.8999999999999999,2.09,86
Anthony Elanga,Nott'm Forest,MID,4,1.1,2.9,36.0,10
Oliver Norwood,Sheffield Utd,MID,2,0.8,1.2,2.0,90
Bernardo Veiga de Carvalho e Silva,Man City,MID,3,3.8,-0.7999999999999998,3.0,90
Philippe Coutinho Correia,Aston Villa,MID,1,1.7,-0.7,30.0,3
Pablo Sarabia,Wolves,MID,3,1.1,1.9,4.35,62
Joelinton Cássio Apolinário de Lira,Newcastle,MID,2,2.7,-0.7000000000000002,2.0,90
Lucas Tolentino Coelho de Lima,West Ham,MID,1,2.2,-1.2000000000000002,1.0,90
Luca Koleosho,Burnley,MID,2,0.1,1.9,3.0,60
Luis Díaz,Liverpool,MID,8,3.1,4.9,9.47,76
Idrissa Gueye,Everton,MID,2,1.6,0.3999999999999999,2.0,90
Harry Wilson,Fulham,MID,3,2.1,0.8999999999999999,3.0,90
Thomas Partey,Arsenal,MID,2,2.1,-0.10000000000000009,2.0,90
Leon Bailey,Aston Villa,MID,1,1.6,-0.6000000000000001,2.0,45
Mario Lemina,Wolves,MID,1,1.1,-0.10000000000000009,1.0,90
Brennan Johnson,Nott'm Forest,MID,2,1.7,0.30000000000000004,2.28,79
Justin Kluivert,Bournemouth,MID,1,1.6,-0.6000000000000001,3.0,30
Lesley Ugochukwu,Chelsea,MID,1,0.5,0.5,90.0,1
Arnaut Danjuma Groeneveld,Everton,MID,1,1.5,-0.5,5.0,18
Phil Foden,Man City,MID,3,4.1,-1.0999999999999996,3.0,90
Christian Eriksen,Man Utd,MID,1,2.7,-1.7000000000000002,4.09,22
Harrison Reed,Fulham,MID,3,1.6,1.4,3.0,90
Christian Nørgaard,Brentford,MID,2,2.1,-0.10000000000000009,2.54,71
Sean Longstaff,Newcastle,MID,1,2.1,-1.1,18.0,5
Pelly Ruddock Mpanzu,Luton,MID,2,1.1,0.8999999999999999,2.07,87
Kaoru Mitoma,Brighton,MID,5,2.8,2.2,5.0,90
Simon Adingra,Brighton,MID,6,2.1,3.9,33.75,16
Danilo dos Santos de Oliveira,Nott'm Forest,MID,2,1.6,0.3999999999999999,2.57,70
Jacob Murphy,Newcastle,MID,4,2.1,1.9,90.0,4
Douglas Luiz Soares de Paulo,Aston Villa,MID,1,1.6,-0.6000000000000001,1.0,90
Andreas Hoelgebaum Pereira,Fulham,MID,4,1.5,2.5,11.25,32
Billy Gilmour,Brighton,MID,1,2.1,-1.1,5.62,16
Mikkel Damsgaard,Brentford,MID,1,1.6,-0.6000000000000001,2.2,41
Son Heung-min,Spurs,MID,2,3.0,-1.0,2.43,74
Manuel Benson Hedilazio,Burnley,MID,1,0.6,0.4,5.62,16
Pablo Fornals Malla,West Ham,MID,2,1.6,0.3999999999999999,2.12,85
Jordan Ayew,Crystal Palace,MID,6,2.6,3.4,6.0,90
Dominik Szoboszlai,Liverpool,MID,2,3.0,-1.0,2.0,90
Mason Mount,Man Utd,MID,3,3.0,0.0,4.03,67
David Brooks,Bournemouth,MID,2,1.6,0.3999999999999999,2.43,74
Pascal Groß,Brighton,MID,2,2.8,-0.7999999999999998,2.0,90
John McGinn,Aston Villa,MID,2,1.6,0.3999999999999999,2.86,63
Facundo Pellistri Rebollo,Man Utd,MID,1,1.5,-0.5,6.92,13
Kevin Schade,Brentford,MID,1,2.1,-1.1,5.0,18
Harvey Elliott,Liverpool,MID,1,2.1,-1.1,6.92,13
Gabriel Martinelli Silva,Arsenal,MID,5,3.3,1.7000000000000002,5.29,85
Bryan Mbeumo,Brentford,MID,7,2.3,4.7,7.0,90
Alexis Mac Allister,Liverpool,MID,1,2.7,-1.7000000000000002,1.0,90
Youri Tielemans,Aston Villa,MID,1,1.7,-0.7,2.0,45
Saïd Benrahma,West Ham,MID,2,2.2,-0.20000000000000018,2.0,90
Pedro Lomba Neto,Wolves,MID,1,1.6,-0.6000000000000001,1.0,90
Enzo Fernández,Chelsea,MID,1,1.1,-0.10000000000000009,1.0,90
Marvelous Nakamba,Luton,MID,2,0.5,1.5,2.0,90
Leandro Trossard,Arsenal,MID,1,3.0,-2.0,5.29,17
Antony Matheus dos Santos,Man Utd,MID,3,3.0,0.0,3.55,76
Richarlison de Andrade,Spurs,MID,2,2.5,-0.5,2.0,90
Kai Havertz,Arsenal,MID,2,3.1,-1.1,2.0,90
Marcus Rashford,Man Utd,MID,3,3.5,-0.5,3.1,87
Yves Bissouma,Spurs,MID,2,1.6,0.3999999999999999,2.0,90
João Victor Gomes da Silva,Wolves,MID,2,1.1,0.8999999999999999,2.07,87
Abdoulaye Doucouré,Everton,MID,2,2.1,-0.10000000000000009,2.0,90
Scott McTominay,Man Utd,MID,1,2.1,-1.1,45.0,2
Alejandro Garnacho,Man Utd,MID,3,2.1,0.8999999999999999,4.03,67
