Position,Name,Points,Cost,Captain
MID,Martin Ødegaard,212.00,69,No
MID,Marcus Rashford,205.00,72,No
MID,Bukayo Saka,202.00,80,No
MID,Gabriel Martinelli Silva,198.00,65,No
MID,Granit Xhaka,153.00,48,No
DEF,Kieran Trippier,198.00,60,No
DEF,Benjamin White,156.00,50,No
DEF,Gabriel dos Santos Magalhães,146.00,52,No
DEF,Ben Mee,143.00,48,No
DEF,Tyrone Mings,130.00,47,No
FWD,Erling Haaland,272.00,124,No
FWD,Harry Kane,263.00,115,No
FWD,Ivan Toney,182.00,71,No
GK,David Raya Martin,166.00,48,No
GK,David De Gea Quintana,161.00,51,No
Total Points,2787.00,Total Cost,1000
